musname	muse_id	town	postcode	accreditation	governance	size	subject_matter	closing_date	provenance	deprivation_index	geodemographic_group	geodemographic_subgroup	admin_area	region	gov	valid
Basket Museum	mm.wiki.333	Stoke St. Gregory	TA3 6HY	Unaccredited	Independent:Private	small	Rural Industry:Other	Still open	wiki	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Somerset (English County)/Taunton Deane (English District or Borough)	South West (English Region)	Independent	
The Military Museum Of Devon And Dorset	mm.aim.1115	Dorchester	DT1 1RN	Unaccredited	Independent:Not for profit	small	War and conflict:Military	Still open	aim	7.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Dorset (English County)/West Dorset (English District or Borough)	South West (English Region)	Independent	
Newquay Heritage Archive And Museum	mm.wiki.042	Newquay	TR7 2PY	Unaccredited	Independent:Unknown	small	Local Histories	Still open	wiki	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Cornwall (English UA)	South West (English Region)	Independent	
Compton Castle	mm.misc.173	Compton	TQ3 1TA	Unaccredited	Independent:National Trust	small	Buildings:Houses:Large houses	Still open	misc	8.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Devon (English County)/South Hams (English District or Borough)	South West (English Region)	Independent	
Crofton Pumping Station	mm.wiki.398	Marlborough	SN8 3DW	Unaccredited	Independent:Not for profit	small	Utilities:Water and waste	Still open	wiki	8.0	Country Living	Country Living	/England/South West (English Region)/Wiltshire (English UA)	South West (English Region)	Independent	
Wincanton Museum	mm.wiki.334	Wincanton	BA9 9JS	Unaccredited	Independent:Unknown	small	Local Histories	Still open	wiki	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Somerset (English County)/South Somerset (English District or Borough)	South West (English Region)	Independent	
Powderham Castle	mm.hha.038	Nr. Exeter	EX6 8JQ	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	8.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Devon (English County)/Teignbridge (English District or Borough)	South West (English Region)	Independent	
Museum Of British Surfing	mm.aim.0641	Braunton	EX33 1AA	Unaccredited	Independent:Not for profit	small	Leisure and sport:Other	Still open	aim	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Devon (English County)/North Devon (English District or Borough)	South West (English Region)	Independent	
Shoe Museum	mm.aim.0881	Street	BA16 0EQ	Unaccredited	Independent:Unknown	small	Arts:Costume and textiles	Still open	aim	6.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Somerset (English County)/Mendip (English District or Borough)	South West (English Region)	Independent	
Timehouse: The Timetravellers Museum & Narnia Totnes Shop	mm.aim.1246	Totnes	TQ9 5NJ	Unaccredited	Independent:Private	small	Other	Still open	aim	4.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Devon (English County)/South Hams (English District or Borough)	South West (English Region)	Independent	
West Somerset Rural Life Museum	mm.domus.SW002	Minehead	TA24 8HN	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	domus	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Somerset (English County)/West Somerset (English District or Borough)	South West (English Region)	Independent	
Cadhay	mm.hha.034	Ottery St Mary	EX11 1QT	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	7.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Devon (English County)/East Devon (English District or Borough)	South West (English Region)	Independent	
Markers Cottage	mm.domus.SW239	Exeter	EX5 3LE	Unaccredited	Independent:National Trust	small	Buildings:Houses:Medium houses	Still open	domus	6.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Devon (English County)/East Devon (English District or Borough)	South West (English Region)	Independent	
The Merchant's House (Tewkesbury)	mm.domus.SW057	Tewkesbury	GL20 5SN	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Medium houses	Still open	domus	5.0	Country Living	Country Living	/England/South West (English Region)/Gloucestershire (English County)/Tewkesbury (English District or Borough)	South West (English Region)	Independent	
Westonbirt House & Gardens	mm.hha.059	Tetbury	GL8 8QS	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	7.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Gloucestershire (English County)/Cotswold (English District or Borough)	South West (English Region)	Independent	
Cornish Mines And Engines	mm.wiki.028	Redruth	TR15 3NP	Unaccredited	Unknown	small	Industry and manufacture:Mining and quarrying	Still open	wiki	1.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Cornwall (English UA)	South West (English Region)	Unknown	
Bath Medical Museum	mm.misc.218	Bath	BA1 1RL	Unaccredited	Independent:Not for profit	unknown	Medicine and health:Hospital	Still open	misc	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/South West (English Region)/West of England (English CA)/Bath and North East Somerset (English District or Borough)	South West (English Region)	Independent	
Big Pit: The National Mining Museum Of Wales	mm.domus.WA016	Blaenafon	NP4 9XP	Accredited	Government:National	large	Industry and manufacture:Mining and quarrying	Still open	domus	3.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Wales/Torfaen (Welsh UA)	Wales	Government	
Penrhyn Castle	mm.domus.WA077	Bangor	LL57 4HN	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Gwynedd (Welsh UA)	Wales	Independent	
National Slate Museum	mm.domus.WA091	Llanberis	LL55 4TY	Accredited	Government:National	medium	Industry and manufacture:Mining and quarrying	Still open	domus	4.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Gwynedd (Welsh UA)	Wales	Government	
Brecknock Museum And Art Gallery	mm.domus.WA018	Brecon	LD3 7DS	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	7.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Powys (Welsh UA)	Wales	Government	
South Wales Miners Museum	mm.domus.WA063	Port Talbot	SA13 3HG	Accredited	Independent:Not for profit	medium	Industry and manufacture:Mining and quarrying	Still open	domus	2.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Wales/Neath Port Talbot (Welsh UA)	Wales	Independent	
Llanchaeron	mm.mald.071	Aberaeron	SA48 8DG	Accredited	Independent:National Trust	medium	Buildings:Houses:Large houses	Still open	mald	6.0	English and Welsh Countryside	Older Farming Communities	/Wales/Ceredigion (Welsh UA)	Wales	Independent	
Dylan Thomas Centre	mm.musa.118	Swansea	SA1 1RR	Unaccredited	Government:Local Authority	medium	Personality:Literary	Still open	musassoc	7.0	Services Manufacturing and Mining Legacy	Service Economy	/Wales/Swansea (Welsh UA)	Wales	Government	
Teifi Valley Railway	mm.musa.337	Llandysul	SA44 5TD	Unaccredited	Independent:Not for profit	medium	Transport:Trains and railways	Still open	musassoc	5.0	English and Welsh Countryside	Older Farming Communities	/Wales/Ceredigion (Welsh UA)	Wales	Independent	
Lloyd George Museum And Highgate His Boyhood Home	mm.domus.WA009	Criccieth	LL52 0SH	Accredited	Government:Local Authority	small	Personality:Political	Still open	domus	7.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Gwynedd (Welsh UA)	Wales	Government	
Kidwelly Industrial Museum	mm.domus.WA083	Kidwelly	SA17 4LW	Accredited	Independent:Not for profit	small	Industry and manufacture:Metals	Still open	domus	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Carmarthenshire (Welsh UA)	Wales	Independent	
Rhayader Museum & Galllery (CARAD)	mm.aim.0797	Rhayader	LD6 5ER	Accredited	Independent:Not for profit	small	Local Histories	Still open	aim	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Powys (Welsh UA)	Wales	Independent	
Tredegar and District Museum	mm.mald.149	Tredegar	NP22 3PS	Accredited	Independent:Not for profit	small	Local Histories	Still open	mald	1.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Wales/Blaenau Gwent (Welsh UA)	Wales	Independent	
Porthmadog Maritime Museum	mm.domus.WA076	Porthmadog	LL49 9LU	Accredited	Independent:Not for profit	small	Sea and seafaring:Mixed	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Gwynedd (Welsh UA)	Wales	Independent	
Blaenavon Ironworks	mm.wiki.452	Blaenavon	NP4 9RQ	Unaccredited	Government:Cadw	small	Industry and manufacture:Metals	Still open	wiki	3.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Wales/Torfaen (Welsh UA)	Wales	Government	
Stone Science	mm.wiki.429	Llangefni	LL75 8UL	Unaccredited	Independent:Private	small	Natural world:Geology	Still open	wiki	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Isle of Anglesey (Welsh UA)	Wales	Independent	
Welsh Quilt Centre	mm.mald.158	Lampeter	SA48 7BB	Unaccredited	Independent:Private	small	Arts:Costume and textiles	Still open	mald	9.0	English and Welsh Countryside	Older Farming Communities	/Wales/Ceredigion (Welsh UA)	Wales	Independent	
Corwen Museum	mm.aim.0304	Corwen	LL21 0DP	Unaccredited	Independent:Unknown	small	Local Histories	Still open	aim	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Denbighshire (Welsh UA)	Wales	Independent	
Llanyrafon Farm	mm.domus.WA046	Cwmbran	NP44 8HT	Unaccredited	Independent:Unknown	small	Buildings:Houses:Medium houses	Still open	domus	8.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Wales/Torfaen (Welsh UA)	Wales	Independent	
Llanelly House	mm.aim.0555	Llanelli	SA15 3UF	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Medium houses	Still open	aim	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Carmarthenshire (Welsh UA)	Wales	Independent	
The Thomas Shop	mm.wiki.451	Llandrindod	LD1 5UA	Unaccredited	Independent:Private	small	Buildings:Shops	Still open	wiki	8.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/Wales/Powys (Welsh UA)	Wales	Independent	
Hartsheath	mm.hha.186	Mold	CH7 4HP	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	6.0	Country Living	Country Living	/Wales/Flintshire (Welsh UA)	Wales	Independent	
Trinity St. David Museum	mm.mald.155	Lampeter	SA48 7ED	Unaccredited	Unknown	small	Arts:Literature	Still open	mald	9.0	English and Welsh Countryside	Older Farming Communities	/Wales/Ceredigion (Welsh UA)	Wales	Unknown	
Coventry Transport Museum	mm.domus.WM088	Coventry	CV1 1JD	Accredited	Government:Local Authority	large	Transport:Mixed	Still open	domus	1.0	Larger Towns and Cities	Larger Towns and Cities	/England/West Midlands (English Region)/West Midlands (English CA)/Coventry (English District or Borough)	West Midlands (English Region)	Government	
Warwickshire Museum - Market Hall Museum	mm.domus.WM016	Warwick	CV34 4SA	Accredited	Government:Local Authority	large	Local Histories	Still open	domus	7.0	Larger Towns and Cities	Larger Towns and Cities	/England/West Midlands (English Region)/Warwickshire (English County)/Warwick (English District or Borough)	West Midlands (English Region)	Government	
Winterbourne House And Garden	mm.aim.1329	Birmingham	B15 2RT	Accredited	Independent:Not for profit	large	Buildings:Houses:Large houses	Still open	aim	7.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/West Midlands (English Region)/West Midlands (English CA)/Birmingham (English District or Borough)	West Midlands (English Region)	Independent	
Attingham Park	mm.domus.WM140	Shrewsbury	SY4 4TP	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/West Midlands (English Region)/Shropshire (English UA)	West Midlands (English Region)	Independent	
Dudmaston Hall	mm.domus.WM138	nr Bridgnorth	WV15 6QN	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/West Midlands (English Region)/Shropshire (English UA)	West Midlands (English Region)	Independent	
Acton Scott Working Farm Museum	mm.domus.WM034	Church Stretton	SY6 6QN	Accredited	Government:Local Authority	medium	Rural Industry:Farming	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/West Midlands (English Region)/Shropshire (English UA)	West Midlands (English Region)	Government	
Walsall Leather Museum	mm.domus.WM049	Walsall	WS2 8EQ	Accredited	Government:Local Authority	medium	Industry and manufacture:Other	Still open	domus	1.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/West Midlands (English Region)/West Midlands (English CA)/Walsall (English District or Borough)	West Midlands (English Region)	Government	
Lunt Roman Fort	mm.domus.WM059	Baginton	CV8 3AJ	Accredited	Government:Local Authority	medium	Archaeology:Roman	Still open	domus	7.0	Larger Towns and Cities	Larger Towns and Cities	/England/West Midlands (English Region)/Warwickshire (English County)/Warwick (English District or Borough)	West Midlands (English Region)	Government	
Selly Manor	mm.domus.WM099	Birmingham	B30 1UB	Accredited	Independent:Not for profit	medium	Buildings:Houses:Medium houses	Still open	domus	6.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/West Midlands (English Region)/West Midlands (English CA)/Birmingham (English District or Borough)	West Midlands (English Region)	Independent	
Darby Houses	mm.domus.WM129	Telford	TF8 7DQ	Accredited	Independent:Not for profit	medium	Buildings:Houses:Medium houses	Still open	domus	5.0	Manufacturing Traits	Urban Living	/England/West Midlands (English Region)/Telford and Wrekin (English UA)	West Midlands (English Region)	Independent	
Shropshire Regimental Museum	mm.domus.WM006	Shrewsbury	SY1 2AT	Accredited	Independent:Not for profit	medium	War and conflict:Regiment	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/West Midlands (English Region)/Shropshire (English UA)	West Midlands (English Region)	Independent	
St Johns House Museum	mm.domus.WM017	Warwick	CV34 4NF	Unaccredited	Government:Local Authority	medium	Local Histories	Still open	domus	6.0	Larger Towns and Cities	Larger Towns and Cities	/England/West Midlands (English Region)/Warwickshire (English County)/Warwick (English District or Borough)	West Midlands (English Region)	Government	
Harvington Hall	mm.hha.115	Nr. Kidderminster	DY10 4LR	Unaccredited	Independent:Private	medium	Buildings:Houses:Large houses	Still open	hha	4.0	Country Living	Country Living	/England/West Midlands (English Region)/Worcestershire (English County)/Wyre Forest (English District or Borough)	West Midlands (English Region)	Independent	
Wednesbury Museum And Art Gallery	mm.domus.WM111	Wednesbury	WS10 7DF	Accredited	Government:Local Authority	small	Mixed:Other	Still open	domus	2.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/West Midlands (English Region)/West Midlands (English CA)/Sandwell (English District or Borough)	West Midlands (English Region)	Government	
Redferns Cottage: Museum Of Uttoxeter	mm.ace.1243	Uttoxeter	ST14 8EU	Accredited	Independent:Not for profit	small	Buildings:Houses:Small houses	Still open	ace	6.0	Country Living	Country Living	/England/West Midlands (English Region)/Staffordshire (English County)/East Staffordshire (English District or Borough)	West Midlands (English Region)	Independent	
The Raven Mason Collection	mm.ace.1241	Keele	ST5 5BG	Accredited	Independent:Not for profit	small	Arts:Ceramics	Still open	ace	10.0	Town Living	Prosperous Towns	/England/West Midlands (English Region)/Staffordshire (English County)/Newcastle-under-Lyme (English District or Borough)	West Midlands (English Region)	Independent	
Chasewater Railway Museum	mm.ace.1229	Burntwood	WS8 7NL	Accredited	Independent:Not for profit	small	Transport:Trains and railways	Still open	ace	6.0	Town Living	Prosperous Towns	/England/West Midlands (English Region)/Staffordshire (English County)/Lichfield (English District or Borough)	West Midlands (English Region)	Independent	
Weoley Castle	mm.domus.WM067	Birmingham	B29 5RX	Unaccredited	Government:Local Authority	small	War and conflict:Castles and forts	Still open	domus	1.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/West Midlands (English Region)/West Midlands (English CA)/Birmingham (English District or Borough)	West Midlands (English Region)	Government	
Kenilworth Abbey Barn Museum	mm.wiki.364	Kenilworth	CV8 1BP	Unaccredited	Independent:Unknown	small	Local Histories	Still open	wiki	10.0	Larger Towns and Cities	Larger Towns and Cities	/England/West Midlands (English Region)/Warwickshire (English County)/Warwick (English District or Borough)	West Midlands (English Region)	Independent	
Assay Office Birmingham	mm.aim.0036	Birmingham	B1 3AX	Unaccredited	Independent:Unknown	small	Industry and manufacture:Metals	Still open	aim	5.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/West Midlands (English Region)/West Midlands (English CA)/Birmingham (English District or Borough)	West Midlands (English Region)	Independent	
Aldridge Transport Museum	mm.aim.0037	Walsall	WS9 8TP	Unaccredited	Independent:Not for profit	small	Transport:Buses and trams	Still open	aim	8.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/West Midlands (English Region)/West Midlands (English CA)/Walsall (English District or Borough)	West Midlands (English Region)	Independent	
Stoneleigh Abbey	mm.wiki.365	Kenilworth	CV8 2LF	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Large houses	Still open	wiki	7.0	Larger Towns and Cities	Larger Towns and Cities	/England/West Midlands (English Region)/Warwickshire (English County)/Warwick (English District or Borough)	West Midlands (English Region)	Independent	
Brindley Mill And James Brindley Museum	mm.domus.WM002	Leek	ST13 8FA	Unaccredited	Independent:Not for profit	small	Personality:Other	Still open	domus	4.0	Country Living	Country Living	/England/West Midlands (English Region)/Staffordshire (English County)/Staffordshire Moorlands (English District or Borough)	West Midlands (English Region)	Independent	
Robert Peel Society & Police Museum	mm.MDN.023	Tamworth	B78 2AE	Unaccredited	Independent:Not for profit	small	Services:Police	Still open	MDN	7.0	Country Living	Country Living	/England/West Midlands (English Region)/Warwickshire (English County)/North Warwickshire (English District or Borough)	West Midlands (English Region)	Independent	
The National Brewery Centre	mm.aim.1136	Burton-upon-Trent	DE14 1NG	Unaccredited	Independent:Not for profit	small	Food and drink	Still open	aim	5.0	Country Living	Country Living	/England/West Midlands (English Region)/Staffordshire (English County)/East Staffordshire (English District or Borough)	West Midlands (English Region)	Independent	
Cheddleton Flint Mill	mm.domus.WM107	nr Leek	ST13 7HL	Unaccredited	Independent:Not for profit	small	Rural Industry:Watermills	Still open	domus	9.0	Country Living	Country Living	/England/West Midlands (English Region)/Staffordshire (English County)/Staffordshire Moorlands (English District or Borough)	West Midlands (English Region)	Independent	
Sufton Court	mm.hha.105	Mordiford	HR1 4LU	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	8.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/West Midlands (English Region)/Herefordshire (English UA)	West Midlands (English Region)	Independent	
Statfold Barn Railway	mm.New.59	Tamworth	B79 0BU	Unaccredited	Independent:Not for profit	unknown	Transport:Trains and railways	Still open	New	6.0	Town Living	Prosperous Towns	/England/West Midlands (English Region)/Staffordshire (English County)/Lichfield (English District or Borough)	West Midlands (English Region)	Independent	
Abbey House Museum	mm.domus.YH005	Leeds	LS5 3EH	Accredited	Government:Local Authority	large	Mixed:Other	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Leeds (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Cartwright Hall Art Gallery	mm.domus.YH035	Bradford	BD9 4NS	Accredited	Government:Local Authority	large	Arts:Fine and decorative arts	Still open	domus	1.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Bradford (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Normanby Hall	mm.domus.YH079	Scunthorpe	DN15 9HU	Accredited	Government:Local Authority	large	Buildings:Houses:Large houses	Still open	domus	7.0	Country Living	Country Living	/England/Yorkshire and The Humber (English Region)/North Lincolnshire (English UA)	Yorkshire and The Humber (English Region)	Government	
Bronte Parsonage Museum	mm.domus.YH101	Keighley	BD22 8DR	Accredited	Independent:Not for profit	large	Personality:Literary	Still open	domus	4.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Bradford (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
York Minster Undercroft	mm.ace.164	York	YO1 7HH	Accredited	Independent:Not for profit	large	Belief and identity:Religious buildings	Still open	ace	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/York (English UA)	Yorkshire and The Humber (English Region)	Independent	
Ruskin Gallery	mm.domus.YH027	Sheffield	S1 2HL	Unaccredited	Government:Local Authority	large	Mixed:Other	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/Sheffield City Region (English CA)/Sheffield (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Castle Howard	mm.hha.121	York	YO60 7DA	Unaccredited	Independent:Private	large	Buildings:Houses:Large houses	Still open	hha	6.0	English and Welsh Countryside	Older Farming Communities	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Ryedale (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Worsbrough Mill Museum	mm.domus.YH045	Barnsley	S70 5JL	Accredited	Government:Local Authority	medium	Rural Industry:Watermills	Still open	domus	5.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/Yorkshire and The Humber (English Region)/Sheffield City Region (English CA)/Barnsley (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Shibden Hall	mm.domus.YH112	Halifax	HX3 6XG	Accredited	Government:Local Authority	medium	Buildings:Houses:Medium houses	Still open	domus	5.0	Manufacturing Traits	Urban Living	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Calderdale (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Leeds Industrial Museum, Armley Mills	mm.domus.YH006	Leeds	LS12 2QF	Accredited	Government:Local Authority	medium	Industry and manufacture:Mixed	Still open	domus	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Leeds (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Abbeydale Industrial Hamlet	mm.domus.YH023	Sheffield	S7 2QW	Accredited	Government:Local Authority	medium	Industry and manufacture:Industrial life	Still open	domus	10.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/Sheffield City Region (English CA)/Sheffield (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
East Riddlesden Hall	mm.domus.YH160	Keighley	BD20 5EL	Accredited	Independent:National Trust	medium	Buildings:Houses:Large houses	Still open	domus	3.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Bradford (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Barley Hall	mm.domus.YH030	York	YO1 8AR	Accredited	Independent:Not for profit	medium	Archaeology:Medieval	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/York (English UA)	Yorkshire and The Humber (English Region)	Independent	
The Courthouse Museum	mm.ace.1225	Ripon	HG4 1QS	Accredited	Independent:Not for profit	medium	Buildings:Penal	Still open	ace	7.0	English and Welsh Countryside	Older Farming Communities	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Harrogate (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Elsecar Heritage Centre	mm.musa.126	Barnsley	S74 8HJ	Unaccredited	Government:Local Authority	medium	Industry and manufacture:Industrial life	Still open	musassoc	5.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/Yorkshire and The Humber (English Region)/Sheffield City Region (English CA)/Barnsley (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
York And Lancaster Regimental Museum	mm.domus.YH093	Rotherham	S65 2AA	Unaccredited	Independent:Not for profit	medium	War and conflict:Regiment	Still open	domus	1.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/Yorkshire and The Humber (English Region)/Sheffield City Region (English CA)/Rotherham (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Castleford Forum Museum	mm.domus.YH120	Castleford	WF10 1BB	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	2.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Wakefield (English District or Borough)	Yorkshire and The Humber (English Region)	Government	
Shandy Hall	mm.domus.YH142	Coxwold	YO61 4AD	Accredited	Independent:Not for profit	small	Personality:Literary	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Hambleton (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
The Green Howards Regimental Museum	mm.domus.YH061	Richmond	DL10 4QN	Accredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Richmondshire (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Museum of the Wagoners' Special Reserve	mm.ace.1221	Sledmere	YO25 3XQ	Accredited	Independent:Not for profit	small	War and conflict:Military	Still open	ace	4.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/Yorkshire and The Humber (English Region)/East Riding of Yorkshire (English UA)	Yorkshire and The Humber (English Region)	Independent	
York Mansion House	mm.wiki.305	York	YO1 9QL	Unaccredited	Government:Local Authority	small	Buildings:Civic	Still open	wiki	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/York (English UA)	Yorkshire and The Humber (English Region)	Government	
Todmorden Toy & Model Museum	mm.wiki.386	Todmorden	OL14 5AA	Unaccredited	Independent:Private	small	Leisure and sport:Toys and models	Still open	wiki	3.0	Manufacturing Traits	Urban Living	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Calderdale (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Newby Hall & Gardens	mm.hha.123	Ripon	HG4 5AE	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	8.0	English and Welsh Countryside	Older Farming Communities	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Harrogate (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Last Of The Summer Wine Exhibition	mm.wiki.385	Holmfirth	HD9 2JS	Unaccredited	Independent:Private	small	Leisure and sport:Film Cinema and TV	Still open	wiki	7.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Kirklees (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Brockfield Hall	mm.hha.119	York	YO19 5XJ	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	6.0	English and Welsh Countryside	Older Farming Communities	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Ryedale (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Allerton Castle	mm.hha.117	Nr. Knaresborough	HG5 0SE	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Large houses	Still open	hha	7.0	English and Welsh Countryside	Older Farming Communities	/England/Yorkshire and The Humber (English Region)/North Yorkshire (English County)/Harrogate (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Ilkley Toy Museum	mm.aim.0466	Ilkley	LS29 9HR	Unaccredited	Independent:Private	small	Leisure and sport:Toys and models	Still open	aim	9.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Bradford (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
Yorkshire Cricket Museum	mm.misc.105	Leeds	LS6 3BR	Unaccredited	Independent:Not for profit	small	Leisure and sport:Cricket	Still open	Misc	5.0	Larger Towns and Cities	Larger Towns and Cities	/England/Yorkshire and The Humber (English Region)/West Yorkshire (English CA)/Leeds (English District or Borough)	Yorkshire and The Humber (English Region)	Independent	
